Donald OConnell,650-507-9833,SH_CLERK
Douglas Grant,650-507-9844,SH_CLERK
Jennifer Whalen,515-123-4444,AD_ASST
Michael Hartstein,515-123-5555,MK_MAN
Pat Fay,603-123-6666,MK_REP
Susan Mavris,515-123-7777,HR_REP
Hermann Baer,515-123-8888,PR_REP
Shelley Higgins,515-123-8080,AC_MGR
William Gietz,515-123-8181,AC_ACCOUNT
Steven King,515-123-4567,AD_PRES
Neena Kochhar,515-123-4568,AD_VP
Lex De Haan,515-123-4568,AD_VP
Alexander Hunold,590-423-4567,IT_PROG
Bruce Ernst,590-423-4568,IT_PROG
David Austin,590-423-4569,IT_PROG
Valli Pataballa,590-423-4560,IT_PROG
Diana Lorentz,590-423-5567,IT_PROG
Nancy Greenberg,515-124-4569,FI_MGR
Daniel Faviet,515-124-4169,FI_ACCOUNT
John Chen,515-124-4269,FI_ACCOUNT
Ismael Sciarra,515-124-4369,FI_ACCOUNT
Luis Popp,515-124-4567,FI_ACCOUNT
Den Raphaely,515-127-4561,PU_MAN
Alexander Khoo,515-127-4562,PU_CLERK
Shelli Baida,515-127-4563,PU_CLERK
Sigal Tobias,515-127-4564,PU_CLERK
Guy Himuro,515-127-4565,PU_CLERK
Karen Colmenares,515-127-4566,PU_CLERK
Matthew Weiss,650-123-1234,ST_MAN
Adam Fripp,650-123-2234,ST_MAN
Payam Kaufling,650-123-3234,ST_MAN
Shanta Vollman,650-123-4234,ST_MAN
Kevin Mourgos,650-123-5234,ST_MAN
Julia Nayer,650-124-1214,ST_CLERK
Irene Mikkilineni,650-124-1224,ST_CLERK
James Landry,650-124-1334,ST_CLERK
Steven Markle,650-124-1434,ST_CLERK
Laura Bissot,650-124-5234,ST_CLERK
Mozhe Atkinson,650-124-6234,ST_CLERK
James Marlow,650-124-7234,ST_CLERK
TJ Olson,650-124-8234,ST_CLERK
Jason Mallin,650-127-1934,ST_CLERK
Michael Rogers,650-127-1834,ST_CLERK
Ki Gee,650-127-1734,ST_CLERK
Hazel Philtanker,650-127-1634,ST_CLERK
Renske Ladwig,650-121-1234,ST_CLERK
Stephen Stiles,650-121-2034,ST_CLERK
John Seo,650-121-2019,ST_CLERK
Joshua Patel,650-121-1834,ST_CLERK
